name,description,exchange,industry,close,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,is_top_1m,is_top_3m,is_top_6m
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,85.31,70.56,71.06,6.19,7.27,3180427.6,2574179.1666666665,219603225.0,181631508.0,28.05,25,-5.4,244,405.09,2,142.58,2.76,False,False,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,35.31,37.0,31.58,8.57,8.12,2026294.6,1589231.1,56115750.0,58802610.0,-4.46,224,94.44,9,249.6,7,113.19,1.45,False,True,True
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,61.83,50.78,51.94,7.79,7.34,1092673.6,866799.0333333333,53594184.0,44017066.0,30.55,22,18.4,126,263.71,5,104.22,2.6,True,False,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,10.88,11.25,10.77,7.35,7.85,2839937.7,2673136.033333333,29083720.0,30072335.0,1.49,160,8.37,165,270.07,4,93.31,0.13,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,13.5,14.77,14.9,5.83,6.99,1911913.4,2410746.9,32557137.0,35610750.0,-13.1,316,4.49,191,288.07,3,93.16,-1.34,False,False,True
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.91,2.61,2.56,5.47,5.84,30171653.600000035,23654482.966666665,68834545.0,61785510.0,7.78,111,56.45,42,200.0,12,88.08,2.33,False,False,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,536.02,502.99,472.29,5.14,5.81,10134809.2,9053103.766666668,4852644681.0,4553590487.0,21.03,44,35.27,79,206.07,10,87.46,2.32,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.26,1.05,0.91,12.02,11.62,18309933.8,65010288.1,81912963.0,68455400.0,107.51,2,64.13,32,88.06,69,86.57,3.28,True,False,False
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,118.51,115.38,110.26,4.65,4.59,2657233.1,1415089.8666666667,167702300.0,163266229.0,-5.11,232,41.56,67,211.13,9,82.53,1.63,False,False,True
FIVN,"Five9, Inc.",NASDAQ,Packaged Software,36.66,33.41,31.12,5.63,5.6,3018532.8,2083435.4,76378742.0,69617647.0,12.35,85,85.15,16,148.04,29,81.85,3.18,False,True,False
ALAB,"Astera Labs, Inc.",NASDAQ,Semiconductors,360.51,299.56,304.13,5.65,6.44,4492643.1,3811255.4,1373995684.0,1141683152.0,26.08,28,-5.74,248,224.78,8,81.71,2.88,False,False,True
PLSE,"Pulse Biosciences, Inc",NASDAQ,Medical Specialties,51.83,50.52,44.42,8.76,7.3,606599.1,597511.4333333333,30969018.0,30185481.0,4.22,130,92.53,11,139.95,38,78.9,2.29,False,True,False
PANW,"Palo Alto Networks, Inc.",NASDAQ,Packaged Software,389.92,361.8,356.11,4.2,4.59,7226742.80000001,6447135.900000008,2513867230.0,2332552278.0,10.22,101,32.11,84,164.26,23,68.86,2.07,False,False,True
PENG,"Penguin Solutions, Inc.",NASDAQ,Semiconductors,53.08,52.37,53.62,4.45,6.22,1497334.8,1482225.2,78676514.0,77626604.0,1.26,163,-16.01,316,205.06,11,63.43,-0.16,False,False,True
AMBQ,"Ambiq Micro, Inc.",NYSE,Semiconductors,68.92,61.68,64.14,5.08,5.72,698795.6,522087.26666666666,35982254.0,32201821.0,16.99,61,-14.33,306,185.15,18,62.6,1.3,False,False,True
SNDK,Sandisk Corporation,NASDAQ,Computer Peripherals,1753.62,1626.79,1509.42,5.49,6.54,9873395.4,12055605.1,21140950215.0,19611899645.0,14.34,76,-19.19,333,192.39,15,62.51,2.48,False,False,True
SMTC,Semtech Corporation,NASDAQ,Semiconductors,174.5,148.67,139.86,6.03,6.53,3844506.8,3587308.066666667,625985258.0,533320905.0,38.49,12,12.58,152,134.51,40,61.86,3.79,True,False,False
SAIL,"SailPoint, Inc.",NASDAQ,Packaged Software,22.12,19.34,18.23,5.67,5.6,6386016.0,4516656.966666667,99908452.0,87347629.0,21.81,40,75.56,22,84.33,77,60.57,3.81,False,True,False
AEHR,Aehr Test Systems,NASDAQ,Electronic Production Equipment,97.42,96.51,94.42,7.33,8.92,2320946.7,2673964.6666666665,260497638.0,258067895.0,-4.34,222,2.01,196,183.86,19,60.51,0.36,False,False,True
BB,BlackBerry Limited,NYSE,Packaged Software,8.73,8.1,8.34,4.49,5.15,17567294.3,11916929.900000008,104034798.0,96511243.0,11.85,88,-13.39,299,168.62,22,55.69,0.92,False,False,True
APPN,Appian Corporation,NASDAQ,Packaged Software,37.61,37.95,34.05,5.17,5.46,876090.9,853350.8333333334,32094525.0,32384664.0,-2.44,195,80.3,20,57.4,116,45.09,1.91,False,True,False
NUAI,"New Era Energy & Digital, Inc.",NASDAQ,Engineering & Construction,6.94,5.61,5.36,8.51,9.53,9649511.1,7564551.066666666,52497984.0,42400569.0,41.63,9,22.83,113,63.29,108,42.59,3.09,True,False,False
WIX,Wix.com Ltd.,NASDAQ,Packaged Software,77.53,80.53,71.37,6.5,6.95,1206515.7,1563304.7,121203013.0,125898139.0,-6.76,242,83.07,18,-12.36,328,21.32,1.24,False,True,False
SEI,"Solaris Energy Infrastructure, Inc.",NYSE,Oilfield Services/Equipment,70.1,60.05,58.71,5.17,6.15,2894886.2,2705214.1,189635508.0,162443598.0,29.03,23,-9.17,266,17.42,223,12.42,3.15,True,False,False
FTFT,Future FinTech Group Inc.,NASDAQ,Finance/Rental/Leasing,4.42,3.39,3.73,36.74,30.32,21698089.4,11025244.375,48731580.0,37328317.0,76.04,3,-58.5,448,-77.45,454,-19.97,0.61,True,False,False
