name,description,exchange,industry,close,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,is_top_1m,is_top_3m,is_top_6m
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,34.3,36.98,31.9,8.63,8.26,2053584.7,1582375.7666666666,54275489.0,58522585.0,-10.3,298,88.88,16,239.6,8,106.06,0.91,False,True,True
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,61.81,51.04,51.8,7.93,7.38,1071466.0,882028.0333333333,54518153.0,45018270.0,33.5,24,18.36,125,263.59,7,105.15,2.62,False,False,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,11.11,11.2,10.82,7.51,7.78,2945046.5,2696206.1333333333,29954850.0,30196161.0,5.01,139,10.66,159,277.89,5,97.85,0.35,False,False,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,562.89,505.27,475.72,4.99,5.61,9560834.899999999,9075428.6,5108468005.0,4585505507.0,25.2,34,42.05,63,221.41,11,96.22,3.26,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.29,1.07,0.92,8.54,10.89,16430232.5,64972553.666666664,83814594.0,69841380.0,111.48,6,68.03,27,92.54,66,90.68,3.64,True,False,False
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.94,2.62,2.58,5.21,5.67,30307160.200000037,23543767.966666672,69218678.0,61739608.0,10.53,93,58.06,36,203.09,14,90.56,2.47,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,13.19,14.53,14.89,6.1,7.07,1894837.6,2369640.3,31255556.0,34431663.0,-13.51,327,2.05,200,279.02,4,89.19,-1.61,False,False,True
CRWD,"CrowdStrike Holdings, Inc.",NASDAQ,Packaged Software,252.13,220.89,212.63,4.52,4.8,13756423.3,11509133.4,2901797804.0,2542194931.0,37.96,19,46.97,56,171.95,21,85.63,3.87,True,False,True
ALAB,"Astera Labs, Inc.",NASDAQ,Semiconductors,364.62,300.95,305.03,5.31,6.33,4571638.3,3803265.933333333,1386746825.0,1144594150.0,29.01,27,-4.66,239,228.49,9,84.28,3.08,False,False,True
PURR,Hyperliquid Strategies Inc,NASDAQ,Financial Conglomerates,12.85,11.53,9.55,8.32,8.97,27178121.0,27734966.0,356394313.0,319724066.0,10.92,90,61.64,33,171.96,20,81.5,3.85,False,False,True
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,116.1,115.56,110.79,4.94,4.71,2621827.1,1421354.4333333333,165019250.0,164253850.0,-5.28,229,38.68,75,204.8,12,79.4,1.02,False,False,True
FIVN,"Five9, Inc.",NASDAQ,Packaged Software,35.77,33.48,31.33,5.85,5.76,3077791.0,2041447.1666666667,73022565.0,68348672.0,13.7,75,80.66,18,142.02,35,78.79,2.46,False,True,False
PLSE,"Pulse Biosciences, Inc",NASDAQ,Medical Specialties,51.63,50.74,44.91,8.96,7.25,608961.8,603988.6666666666,31183935.0,30647794.0,5.37,134,91.79,13,139.03,37,78.73,2.06,False,True,False
NTSK,"Netskope, Inc.",NASDAQ,Packaged Software,17.67,15.66,14.75,5.49,5.36,8966587.8,6370515.933333334,112567017.0,99785638.0,33.86,23,82.16,17,112.89,54,76.31,3.7,True,True,False
PENG,"Penguin Solutions, Inc.",NASDAQ,Semiconductors,56.22,52.22,53.42,4.27,5.9,1513932.6,1480237.6333333333,83218960.0,77291595.0,11.99,83,-11.04,282,223.1,10,74.68,0.89,False,False,True
AEHR,Aehr Test Systems,NASDAQ,Electronic Production Equipment,104.39,95.88,94.82,6.94,8.43,2318970.5,2669961.933333333,278717326.0,255998620.0,10.33,95,9.31,161,204.17,13,74.6,1.2,False,False,True
SNDK,Sandisk Corporation,NASDAQ,Computer Peripherals,1777.8,1635.11,1516.76,5.06,6.28,9667488.7,11562868.8,20556468153.0,18906560476.0,22.14,41,-18.07,326,196.42,15,66.83,2.74,False,False,True
PANW,"Palo Alto Networks, Inc.",NASDAQ,Packaged Software,374.74,361.09,356.52,4.44,4.74,7245158.30000001,6456257.300000008,2419417861.0,2331277036.0,13.4,77,26.97,94,153.97,23,64.78,1.08,False,False,True
AMBQ,"Ambiq Micro, Inc.",NYSE,Semiconductors,69.79,61.86,64.05,5.12,5.47,682842.8,517935.7,36146733.0,32039848.0,14.41,69,-13.25,297,188.75,17,63.3,1.64,False,False,True
BE,Bloom Energy Corporation,NYSE,Electronic Production Equipment,288.7,242.3,229.68,5.52,6.65,19542416.9,15169332.8,4379386379.0,3675574845.0,34.94,22,-1.98,222,117.08,51,50.02,3.86,True,False,False
PBF,PBF Energy Inc.,NYSE,Oil Refining/Marketing,73.69,73.4,70.26,6.41,6.31,5121955.9,3459350.9,254919568.0,253905978.0,13.16,79,75.87,21,46.28,145,45.1,0.77,False,True,False
NUAI,"New Era Energy & Digital, Inc.",NASDAQ,Engineering & Construction,7.06,5.67,5.42,8.52,9.18,10063765.1,7596030.166666667,53627973.0,43099875.0,40.64,16,24.96,102,66.12,110,43.9,3.29,True,False,False
SEI,"Solaris Energy Infrastructure, Inc.",NYSE,Oilfield Services/Equipment,70.97,60.42,58.9,5.19,5.93,2734320.4,2701529.966666667,191727582.0,163219237.0,35.78,21,-8.05,259,18.88,224,15.54,3.46,True,False,False
WIX,Wix.com Ltd.,NASDAQ,Packaged Software,73.79,80.32,71.79,6.77,7.25,1259471.3,1448653.6333333333,106896152.0,116362137.0,-12.18,312,74.24,22,-16.58,343,15.16,0.38,False,True,False
FTFT,Future FinTech Group Inc.,NASDAQ,Finance/Rental/Leasing,4.38,3.42,3.71,37.11,28.92,16389351.6,11031559.1,48318229.0,37764189.0,58.28,7,-58.88,449,-77.65,453,-26.08,0.63,True,False,False
