name,description,exchange,industry,close,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,is_top_1m,is_top_3m,is_top_6m
XHLD,"TEN Holdings, Inc.",NASDAQ,Miscellaneous Commercial Services,12.08,8.9,6.08,14.37,12.57,4457884.9,3788821.6666666665,45768966.0,33731248.0,58.32,4,866.4,1,874.19,1,599.64,7.85,True,True,True
QMCO,Quantum Corporation,NASDAQ,Computer Peripherals,25.97,23.73,18.85,7.17,7.72,1325796.5,1565293.0333333334,40650660.0,37147534.0,21.87,41,85.5,13,410.22,2,172.53,4.9,False,True,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,84.32,70.19,71.13,5.92,7.22,3001281.9,2505081.066666667,211228436.0,175839155.0,31.91,20,-4.31,211,399.23,3,142.28,2.57,True,False,True
ASST,"Strive, Inc.",NASDAQ,Financial Conglomerates,28.99,22.86,18.57,6.73,6.7,10408498.6,9760152.7,282946827.0,223105704.0,54.53,5,123.52,4,189.9,16,122.65,8.38,True,True,True
TEAM,Atlassian Corporation,NASDAQ,Packaged Software,195.08,180.34,150.38,4.16,4.64,3322857.4,3880953.7,757096448.0,699890543.0,15.23,64,146.47,2,191.12,15,117.61,6.41,False,True,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,33.91,36.94,31.24,8.31,8.12,1869182.1,1559739.6666666667,52890772.0,57621982.0,2.6,145,88.08,12,235.74,7,108.81,1.05,False,True,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,11.54,11.3,10.75,6.93,7.19,2723790.5,2670138.8,30813402.0,30174794.0,8.05,103,14.31,133,292.52,5,104.96,1.03,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,14.06,14.97,14.93,5.53,6.83,2042387.3,2438690.6,34287990.0,36497850.0,-11.63,301,16.83,123,304.02,4,103.07,-0.85,False,False,True
PURR,Hyperliquid Strategies Inc,NASDAQ,Financial Conglomerates,13.94,11.08,9.3,7.69,8.08,26405201.9,26292845.166666668,366522262.0,291381692.0,27.07,24,73.82,21,195.03,14,98.64,6.17,False,True,True
OKTA,"Okta, Inc.",NASDAQ,Packaged Software,205.36,164.49,156.13,4.41,4.7,4539791.6,4163580.3,855032850.0,684880508.0,53.01,6,72.95,22,169.32,21,98.43,6.71,True,True,True
SDGR,"Schrodinger, Inc.",NASDAQ,Packaged Software,29.23,21.46,19.26,6.48,5.89,3232564.7,1748472.4,51107848.0,37514058.0,49.06,7,90.3,11,154.17,28,97.84,8.78,True,True,False
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,59.13,50.45,52.12,7.87,7.64,1116688.3,858985.0,50791783.0,43337941.0,26.27,26,13.1,139,247.82,6,95.73,1.76,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.31,1.03,0.9,13.69,11.63,26104360.6,65167722.8,85369717.0,67133399.0,107.28,1,81.38,17,95.52,65,94.73,3.91,True,True,False
CRWD,"CrowdStrike Holdings, Inc.",NASDAQ,Packaged Software,262.49,218.74,210.61,4.47,4.93,13560733.3,11400049.433333334,2992398976.0,2493593613.0,38.5,12,54.32,43,183.12,19,91.98,5.0,True,False,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,549.83,501.27,469.82,5.44,5.82,9929829.599999998,8995667.7,4946087971.0,4509252351.0,25.47,28,32.64,76,213.96,9,90.69,2.92,False,False,True
