name,description,exchange,industry,close,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,is_top_1m,is_top_3m,is_top_6m
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,84.32,70.19,71.13,5.92,7.22,3001281.9,2505081.066666667,211228436.0,175839155.0,31.91,20,-4.31,211,399.23,3,142.28,2.57,True,False,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,33.91,36.94,31.24,8.31,8.12,1869182.1,1559739.6666666667,52890772.0,57621982.0,2.6,145,88.08,12,235.74,7,108.81,1.05,False,True,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,11.54,11.3,10.75,6.93,7.19,2723790.5,2670138.8,30813402.0,30174794.0,8.05,103,14.31,133,292.52,5,104.96,1.03,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,14.06,14.97,14.93,5.53,6.83,2042387.3,2438690.6,34287990.0,36497850.0,-11.63,301,16.83,123,304.02,4,103.07,-0.85,False,False,True
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,59.13,50.45,52.12,7.87,7.64,1116688.3,858985.0,50791783.0,43337941.0,26.27,26,13.1,139,247.82,6,95.73,1.76,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.31,1.03,0.9,13.69,11.63,26104360.6,65167722.8,85369717.0,67133399.0,107.28,1,81.38,17,95.52,65,94.73,3.91,True,True,False
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,549.83,501.27,469.82,5.44,5.82,9929829.599999998,8995667.7,4946087971.0,4509252351.0,25.47,28,32.64,76,213.96,9,90.69,2.92,False,False,True
FIVN,"Five9, Inc.",NASDAQ,Packaged Software,37.68,33.23,30.88,5.49,5.59,2935915.9,2088014.8,78676398.0,69390648.0,14.84,66,93.73,9,154.94,27,87.84,3.94,False,True,False
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.87,2.6,2.54,5.55,5.79,29673182.800000034,23401556.16666667,67162466.0,60828445.0,12.99,76,42.79,58,195.88,13,83.88,2.21,False,False,True
ALAB,"Astera Labs, Inc.",NASDAQ,Semiconductors,360.46,298.17,303.93,5.68,6.52,4478950.0,3847484.2666666666,1386864179.0,1147186429.0,32.67,18,-14.7,285,224.74,8,80.9,2.85,True,False,True
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,112.94,115.16,109.68,4.74,4.67,2639211.1,1408415.4333333333,159066439.0,162198990.0,-6.32,237,37.92,67,196.51,12,76.03,0.64,False,False,True
PANW,"Palo Alto Networks, Inc.",NASDAQ,Packaged Software,393.3,361.7,355.39,4.23,4.74,7274957.000000009,6490558.366666675,2552736606.0,2347632798.0,10.46,87,36.09,70,166.55,22,71.03,2.25,False,False,True
SNDK,Sandisk Corporation,NASDAQ,Computer Peripherals,1816.57,1613.14,1506.65,5.25,6.41,9926747.5,12183973.766666668,22133041225.0,19654485902.0,21.58,43,-18.84,306,202.89,11,68.54,3.21,False,False,True
PENG,"Penguin Solutions, Inc.",NASDAQ,Semiconductors,53.88,52.56,54.01,4.46,6.18,1443907.2,1478863.4333333333,79681162.0,77729062.0,6.31,116,-21.3,323,209.66,10,64.89,-0.04,False,False,True
AMBQ,"Ambiq Micro, Inc.",NYSE,Semiconductors,69.13,61.57,64.41,4.98,5.75,699367.2,523552.0,36193150.0,32234050.0,18.9,52,-18.09,301,186.02,17,62.28,1.27,False,False,True
AMLX,"Amylyx Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,30.6,32.91,27.73,5.17,6.02,1646508.8,3015225.033333333,92280962.0,99240604.0,-20.79,398,75.19,20,127.72,39,60.7,1.72,False,True,False
AEHR,Aehr Test Systems,NASDAQ,Electronic Production Equipment,97.38,97.57,94.22,7.25,9.07,2496798.6,2724633.0,265324762.0,265846983.0,1.69,155,-5.09,215,183.74,18,60.12,0.37,False,False,True
SMTC,Semtech Corporation,NASDAQ,Semiconductors,169.33,147.52,139.07,6.09,6.7,3778374.5,3574137.4,605208686.0,527252579.0,41.54,11,-0.1,191,127.56,40,56.34,3.25,True,False,False
MRVL,"Marvell Technology, Inc.",NASDAQ,Semiconductors,260.9,231.0,218.04,4.14,5.4,18461342.6,22623771.066666666,5902541871.0,5226128823.0,13.82,72,-10.4,247,164.12,23,55.85,3.64,False,False,True
APPN,Appian Corporation,NASDAQ,Packaged Software,37.96,37.86,33.81,5.11,5.52,905203.3,864602.6666666666,32820317.0,32731263.0,-0.89,181,85.17,14,58.86,117,47.71,2.22,False,True,False
BE,Bloom Energy Corporation,NYSE,Electronic Production Equipment,275.19,239.57,227.49,5.72,6.56,18506870.5,14894577.533333333,4098838791.0,3568303869.0,43.34,10,-20.53,319,106.93,55,43.25,3.2,True,False,False
NUAI,"New Era Energy & Digital, Inc.",NASDAQ,Engineering & Construction,6.99,5.56,5.31,8.01,9.3,9218528.4,7368327.533333333,51504609.0,40954392.0,45.63,8,16.11,126,64.47,104,42.07,3.4,True,False,False
HUT,Hut 8 Corp.,NASDAQ,Data Processing Services,102.46,88.99,93.46,7.24,7.84,5038771.500000009,4976796.866666664,509922607.0,442866075.0,28.87,21,-14.69,284,106.07,56,40.09,1.23,True,False,False
PBF,PBF Energy Inc.,NYSE,Oil Refining/Marketing,70.47,73.37,69.75,6.35,6.52,5213102.3,3421545.2333333334,241116293.0,251029650.0,-2.68,197,76.66,18,39.89,155,37.96,0.16,False,True,False
FSLY,"Fastly, Inc.",NASDAQ,Information Technology Services,29.65,24.41,23.53,8.85,8.8,9764601.9,6500008.633333334,192725256.0,158684711.0,22.72,34,82.35,15,5.5,258,36.86,2.95,False,True,False
WIX,Wix.com Ltd.,NASDAQ,Packaged Software,76.8,80.24,70.89,6.5,6.62,1078848.7,1541467.8,118384727.0,123688404.0,-6.19,235,81.6,16,-13.18,329,20.74,1.26,False,True,False
SEI,"Solaris Energy Infrastructure, Inc.",NYSE,Oilfield Services/Equipment,67.43,59.77,58.65,5.14,6.33,2928495.7,2690302.933333333,181407127.0,160803890.0,27.23,23,-13.63,274,12.95,234,8.85,2.36,True,False,False
FTFT,Future FinTech Group Inc.,NASDAQ,Finance/Rental/Leasing,4.44,3.35,3.77,36.17,31.66,23137124.2,11011738.9,48892121.0,36848141.0,66.14,2,-59.01,441,-77.35,447,-23.4,0.56,True,False,False
