name,description,exchange,industry,close,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,is_top_1m,is_top_3m,is_top_6m
XHLD,"TEN Holdings, Inc.",NASDAQ,Miscellaneous Commercial Services,8.92,4.91,18.69,18.3,3287128.5,7560261.533333333,67437533.0,59.29,6,502.7,1,502.7,1,354.9,4.47,True,True,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,39.36,28.8,6.21,6.38,1177756.7,1608226.7333333334,63299804.0,12.33,47,137.97,2,232.15,8,127.48,5.74,False,True,True
ASST,"Strive, Inc.",NASDAQ,Financial Conglomerates,29.03,16.27,7.55,6.43,10664044.900000002,7801053.8,226464592.0,131.5,3,76.26,14,173.1,12,126.95,12.2,True,True,True
QMCO,Quantum Corporation,NASDAQ,Computer Peripherals,22.82,16.78,7.81,8.3,987091.7,1934282.0333333334,44149987.0,-7.52,201,66.12,21,318.81,2,125.8,4.34,False,True,True
CDNA,"CareDx, Inc.",NASDAQ,Medical Specialties,52.37,42.87,4.76,4.39,1076994.6,1148562.4,60150213.0,11.34,52,117.39,4,202.19,11,110.31,5.05,False,True,True
AMLX,"Amylyx Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,33.64,25.69,5.29,5.89,1680091.2,3155751.1666666665,106159469.0,50.51,7,123.22,3,137.74,19,103.83,5.26,True,True,True
ETON,"Eton Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,57.62,49.9,4.62,5.3,465708.5,597063.0333333333,34402772.0,4.9,88,78.5,13,206.16,10,96.52,2.92,False,True,True
TEAM,Atlassian Corporation,NASDAQ,Packaged Software,192.77,135.98,4.72,4.94,3438704.8,4850877.366666666,935103630.0,15.98,29,113.26,5,159.2,14,96.15,8.46,False,True,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,534.28,451.7,5.65,6.35,13531004.4,8020894.2,4285403353.0,7.72,72,29.32,73,249.87,4,95.64,2.88,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.35,0.82,18.12,14.67,173372251.0,62464482.4,84327051.0,110.97,4,79.47,11,88.02,56,92.82,4.4,True,True,False
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,111.8,106.64,4.36,4.31,873948.3,878164.7666666667,98178821.0,1.08,111,34.41,59,238.69,7,91.39,1.12,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,12.84,15.34,5.87,8.26,1658458.2,3102779.966666667,39839695.0,-35.86,413,56.59,26,249.86,5,90.19,-1.97,False,False,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,11.72,10.63,5.61,6.8,2700044.3,3756155.5,44040923.0,-7.46,200,19.28,105,240.84,6,84.22,1.52,False,False,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,64.79,72.85,6.22,9.38,2488326.0,2307408.433333333,149496992.0,-15.47,298,-26.37,308,284.51,3,80.89,-1.18,False,False,True
OKTA,"Okta, Inc.",NASDAQ,Packaged Software,186.45,149.75,5.04,5.19,3836724.1,3660178.8333333335,682440343.0,19.38,23,59.37,23,139.93,18,72.89,4.72,False,False,True
NEO,"NeoGenomics, Inc.",NASDAQ,Medical/Nursing Services,18.41,15.93,4.72,4.47,1431281.3,1721601.9333333333,31694692.0,12.39,46,78.91,12,125.61,26,72.31,3.49,False,True,False
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,48.97,54.73,8.59,9.34,1034105.6,860585.6666666666,42142880.0,-8.83,225,-6.9,206,227.12,9,70.46,-1.13,False,False,True
HTFL,"Heartflow, Inc.",NASDAQ,Packaged Software,49.54,35.53,4.85,5.16,1926037.5,2050170.9666666666,101565470.0,26.83,20,51.04,34,128.72,25,68.86,7.64,True,False,False
GTLB,GitLab Inc.,NASDAQ,Packaged Software,49.25,38.96,4.51,4.93,7901813.1,5450250.4,268424832.0,12.67,44,74.77,15,118.4,34,68.62,5.36,False,True,False
PURR,Hyperliquid Strategies Inc,NASDAQ,Financial Conglomerates,11.85,8.57,10.7,9.25,24932046.5,21036372.6,249281015.0,75.3,5,14.69,122,102.56,42,64.18,4.14,True,False,False
DFTX,"Definium Therapeutics, Inc.",NASDAQ,Pharmaceuticals: Major,40.25,43.05,4.64,5.73,2157917.4999999986,2192986.166666665,88267693.0,-6.4,184,70.19,19,123.12,27,62.3,-1.14,False,True,False
CLMT,"Calumet, Inc",NASDAQ,Oil Refining/Marketing,56.55,45.72,4.03,4.07,1314548.5,1274809.5,72090477.0,15.72,30,72.2,16,97.52,48,61.81,5.81,False,True,False
SLS,"SELLAS Life Sciences Group, Inc.",NASDAQ,Pharmaceuticals: Major,11.72,12.67,9.46,10.21,7154423.2,7075416.0,82959253.0,-5.44,172,54.28,29,134.03,22,60.95,-0.73,False,False,True
OSCR,"Oscar Health, Inc.",NYSE,Managed Health Care,33.81,30.65,5.12,5.28,4805191.1,5552982.733333333,187746346.0,9.95,61,15.83,117,155.36,15,60.38,1.96,False,False,True
NTSK,"Netskope, Inc.",NASDAQ,Packaged Software,17.0,13.82,6.42,6.38,7428130.2,5293509.366666666,89989659.0,5.0,87,92.96,6,82.8,61,60.25,3.61,False,True,False
CVI,CVR Energy Inc.,NYSE,Oil Refining/Marketing,48.63,36.77,4.86,4.85,1296118.6,1029945.3333333334,50086242.0,35.76,12,70.63,18,60.5,82,55.63,6.65,True,True,False
HPE,Hewlett Packard Enterprise Company,NYSE,Computer Processing Hardware,55.41,51.39,5.71,6.77,36059023.8,22233535.933333352,1231960226.0,-8.38,218,12.77,132,155.23,16,53.21,1.16,False,False,True
DK,"Delek US Holdings, Inc.",NYSE,Oil Refining/Marketing,74.47,65.82,5.49,5.6,2209818.1,1740016.9,129579059.0,8.84,68,69.25,20,71.95,75,50.01,2.35,False,True,False
ANF,Abercrombie & Fitch Company,NYSE,Apparel/Footwear Retail,140.62,112.97,5.26,4.87,1705210.1,1998194.4666666666,280986106.0,28.75,17,53.35,30,63.64,79,48.58,5.03,True,False,False
OMER,Omeros Corporation,NASDAQ,Pharmaceuticals: Major,17.46,14.42,4.54,4.93,1326596.8,2056697.6,35909940.0,0.63,116,86.94,7,56.17,90,47.91,4.27,False,True,False
INSP,"Inspire Medical Systems, Inc.",NYSE,Medical Specialties,74.32,57.34,4.11,4.34,763086.3,696638.8,51774196.0,27.9,18,80.0,10,34.93,134,47.61,6.83,True,True,False
USDE,StablecoinX Inc.,NASDAQ,Packaged Software,7.44,3.82,17.96,16.1,4350327.8,6751443.233333333,50230738.0,187.26,1,-27.41,318,-23.69,342,45.38,5.89,True,False,False
PBF,PBF Energy Inc.,NYSE,Oil Refining/Marketing,70.4,66.87,5.73,6.02,3415084.2,3029106.1666666665,213249074.0,-5.16,166,80.56,9,53.04,97,42.81,0.88,False,True,False
APPN,Appian Corporation,NASDAQ,Packaged Software,38.31,32.02,5.46,5.66,1031179.7,925141.4666666667,35442170.0,2.74,101,64.63,22,52.14,100,39.84,3.47,False,True,False
NAVN,"Navan, Inc.",NASDAQ,Packaged Software,21.37,26.92,6.4,7.63,5316992.3,3190580.7666666666,68182711.0,-28.58,401,7.71,151,137.44,20,38.86,-2.7,False,False,True
PENG,"Penguin Solutions, Inc.",NASDAQ,Semiconductors,46.59,57.14,5.3,7.86,1396931.7,1511754.9666666666,70432664.0,-23.42,368,-26.97,315,166.53,13,38.71,-2.35,False,False,True
SBET,"Sharplink, Inc.",NASDAQ,Advertising/Marketing Services,9.15,6.9,5.75,5.86,8300448.2,8506590.300000023,77835301.0,45.93,8,57.22,25,12.96,206,38.7,5.57,True,False,False
MRVL,"Marvell Technology, Inc.",NASDAQ,Semiconductors,218.82,216.32,4.96,7.04,19821513.1,23158031.366666667,5067440424.0,-1.16,130,-26.85,314,140.99,17,37.66,0.16,False,False,True
BMNR,"BitMine Immersion Technologies, Inc.",NYSE,Financial Conglomerates,25.76,19.55,6.32,6.31,41494570.7,39796234.03333333,1025150989.0,43.11,10,51.71,33,14.85,194,36.56,5.03,True,False,False
PAY,"Paymentus Holdings, Inc.",NYSE,Miscellaneous Commercial Services,37.08,35.08,4.14,4.66,1007169.2,1215625.1333333333,45075380.0,-12.07,263,71.83,17,48.98,106,36.24,1.23,False,True,False
BB,BlackBerry Limited,NYSE,Packaged Software,7.75,8.79,4.09,5.0,8691533.7,9442157.466666674,73176720.0,-14.27,283,-15.21,243,134.14,21,34.89,-2.37,False,False,True
CNH,CNH Industrial N.V.,NYSE,Trucks/Construction/Farm Machinery,13.75,11.3,4.33,4.18,34194424.400000006,22630263.1,311166118.0,32.85,14,28.38,81,29.84,150,30.36,5.18,True,False,False
WIX,Wix.com Ltd.,NASDAQ,Packaged Software,83.33,66.71,5.91,6.14,1691944.0,1705092.5333333334,142085361.0,6.83,77,84.97,8,-6.16,278,28.55,4.06,False,True,False
BLSH,Bullish,NYSE,Packaged Software,37.62,27.31,5.15,5.62,1343686.1,1566179.7666666666,58919683.0,37.25,11,32.6,64,-4.9,272,21.65,6.72,True,False,False
MSTR,Strategy Inc,NASDAQ,Internet Software/Services,136.94,107.69,6.02,6.11,22375341.5,24255550.166666668,3321555040.0,44.19,9,5.84,158,-5.55,275,14.83,4.44,True,False,False
FTFT,Future FinTech Group Inc.,NASDAQ,Finance/Rental/Leasing,8.04,4.17,11.63,13.19,27817950.5,9798875.633333333,78782960.0,146.63,2,-40.67,382,-62.78,418,14.39,7.05,True,False,False
SG,"Sweetgreen, Inc.",NYSE,Restaurants,7.25,6.64,5.32,6.09,5051738.1,6021666.633333334,43657083.0,20.83,22,-17.61,261,31.34,145,11.52,1.52,True,False,False
RBLX,Roblox Corporation,NYSE,Packaged Software,51.29,44.54,4.13,4.66,10729728.6,12429133.566666666,637490261.0,33.26,13,11.74,137,-10.57,298,11.48,3.25,True,False,False
MARA,"MARA Holdings, Inc.",NASDAQ,Data Processing Services,11.5,11.25,6.94,7.86,41953547.1,46375917.53333333,533323052.0,27.64,19,-20.96,276,27.21,157,11.3,0.28,True,False,False
COIN,"Coinbase Global, Inc.",NASDAQ,Investment Banks/Brokers,191.45,165.57,5.14,5.77,8427696.8,9147376.6,1751265250.0,26.44,21,13.08,128,-7.41,280,10.7,2.71,True,False,False
BTDR,Bitdeer Technologies Group,NASDAQ,Data Processing Services,11.66,11.17,6.69,8.45,10061577.5,14098312.133333333,164386319.0,31.9,15,-35.9,358,29.56,151,8.52,0.52,True,False,False
CRCL,"Circle Internet Group, Inc.",NYSE,Packaged Software,97.42,75.06,6.62,6.61,13890419.3,14418033.1,1404604785.0,30.84,16,18.08,106,-25.91,353,7.67,4.51,True,False,False
