name,description,exchange,industry,close,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,is_top_1m,is_top_3m,is_top_6m
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,36.4,36.43,29.95,7.21,7.36,1674705.9,1523559.8666666667,55457579.0,55508618.0,6.87,94,128.93,4,260.75,5,132.18,2.92,False,True,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,74.99,68.32,71.73,5.56,7.93,2491737.9,2280854.3666666667,171041269.0,155826450.0,-5.18,204,-13.14,261,337.51,3,106.4,0.57,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,13.79,15.63,15.19,5.25,7.18,1644332.6,2517387.3333333335,34714771.0,39336275.0,-27.38,446,65.15,25,278.85,4,105.54,-1.28,False,False,True
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,114.86,114.84,107.82,4.1,3.97,901040.5,850800.2666666667,97722919.0,97707037.0,-1.49,161,38.69,63,223.55,9,86.92,1.64,False,False,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,10.96,11.62,10.65,6.29,7.14,2509681.3,2919617.066666667,31999003.0,33928383.0,-8.21,235,25.26,88,238.27,7,85.11,0.41,False,False,True
ETON,"Eton Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,57.07,56.69,51.03,4.67,5.16,394063.7,596811.2,34060015.0,33831138.0,-6.6,216,71.33,22,166.68,15,77.14,2.29,False,True,True
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,50.51,49.68,53.75,8.27,8.51,904955.1,827873.3666666667,41815884.0,41131094.0,-2.21,170,-2.14,209,227.14,8,74.26,-0.71,False,False,True
FIVN,"Five9, Inc.",NASDAQ,Packaged Software,34.5,32.69,30.0,4.64,5.05,1886377.1,2084794.2,71925400.0,68148100.0,8.05,87,79.5,18,121.01,34,69.52,2.97,False,True,False
HPE,Hewlett Packard Enterprise Company,NYSE,Computer Processing Hardware,61.04,55.17,52.24,5.78,6.13,32221989.5,22635334.46666669,1381660816.0,1248904579.0,9.27,70,24.13,94,172.14,13,68.51,2.75,False,False,True
NTSK,"Netskope, Inc.",NASDAQ,Packaged Software,17.21,15.04,14.13,6.29,6.13,7945890.7,5749327.666666667,98945929.0,86479470.0,14.73,47,95.79,9,84.26,63,64.93,3.55,False,True,False
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.71,2.55,2.47,5.52,5.99,25350504.900000036,19850356.66666667,53794467.0,50638260.0,12.92,53,2.26,186,163.11,18,59.43,1.64,False,False,True
PBF,PBF Energy Inc.,NYSE,Oil Refining/Marketing,77.16,72.27,68.41,5.38,5.71,3821296.9,3125471.1333333333,241161353.0,225870506.0,2.2,133,108.37,7,63.86,88,58.14,2.24,False,True,False
ORKA,"Oruka Therapeutics, Inc.",NASDAQ,Pharmaceuticals: Major,97.73,99.41,96.15,4.95,5.17,737679.0,783347.8,76556580.0,77873649.0,-11.37,275,33.51,73,151.17,20,57.77,0.32,False,False,True
PENG,"Penguin Solutions, Inc.",NASDAQ,Semiconductors,52.55,52.84,55.93,4.63,6.8,1188214.2,1455472.3666666667,76485073.0,76913467.0,-12.15,294,-17.17,287,197.57,11,56.08,-0.89,False,False,True
MRVL,"Marvell Technology, Inc.",NASDAQ,Semiconductors,240.76,225.18,215.93,4.23,6.22,18669275.6,22418485.266666666,5397474513.0,5048112311.0,9.18,71,-21.18,316,170.82,14,52.94,1.85,False,False,True
OSCR,"Oscar Health, Inc.",NYSE,Managed Health Care,31.98,31.06,30.71,5.64,5.85,5089259.0,5656624.7,180898858.0,175689107.0,2.27,130,11.94,141,141.36,22,51.85,0.7,False,False,True
CHYM,"Chime Financial, Inc.",NASDAQ,Packaged Software,30.72,32.44,28.38,4.69,5.1,8038794.3,9208292.5,282878746.0,298677106.0,-1.6,162,83.95,14,60.67,95,47.67,1.62,False,True,False
NAVN,"Navan, Inc.",NASDAQ,Packaged Software,22.13,27.17,26.68,6.02,6.79,5750716.2,3359261.433333333,74340456.0,91281771.0,-23.16,422,3.65,180,156.73,19,45.74,-2.51,False,False,True
APPN,Appian Corporation,NASDAQ,Packaged Software,38.11,37.36,32.83,5.28,5.58,992964.6,895789.7333333333,34138547.0,33468197.0,8.05,86,77.83,19,49.63,117,45.17,2.88,False,True,False
FCEL,"FuelCell Energy, Inc.",NASDAQ,Electronic Equipment/Instruments,17.71,18.28,19.34,7.38,10.2,7073100.999999997,7724697.533333328,136804393.0,141230645.0,-16.38,366,-14.36,267,164.33,16,44.53,-0.83,False,False,True
PARR,"Par Pacific Holdings, Inc. Common Stock",NYSE,Oil Refining/Marketing,86.49,78.91,78.15,5.03,5.15,851945.6000000015,920387.866666667,79604347.0,72623511.0,4.93,113,72.67,21,48.07,118,41.89,2.07,False,True,False
BB,BlackBerry Limited,NYSE,Packaged Software,7.94,8.17,8.59,4.14,4.91,9212606.5,9391710.933333341,74570185.0,76714625.0,-6.7,217,-11.73,255,141.34,23,40.97,-1.53,False,False,True
WDAY,"Workday, Inc.",NASDAQ,Information Technology Services,199.28,192.35,174.98,4.16,4.59,2631054.4,4237079.766666667,844365256.0,814986051.0,2.04,135,66.77,24,50.95,112,39.92,3.03,False,True,False
BMNR,"BitMine Immersion Technologies, Inc.",NYSE,Financial Conglomerates,23.89,22.33,20.06,6.63,7.09,44252129.7,41683903.13333333,995828446.0,930884925.0,30.26,18,49.69,45,12.96,216,30.97,2.7,True,False,False
SBET,"Sharplink, Inc.",NASDAQ,Advertising/Marketing Services,8.26,7.74,7.06,6.58,6.98,8627384.7,8687926.800000023,71762275.0,67250345.0,30.7,17,53.25,39,7.55,232,30.5,2.44,True,False,False
BE,Bloom Energy Corporation,NYSE,Electronic Production Equipment,280.76,232.23,225.26,5.25,6.72,15012256.6,12826912.733333332,3601284019.0,2978845252.0,27.18,19,-5.66,223,67.77,80,29.76,3.67,True,False,False
