name,description,exchange,industry,close,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,is_top_1m,is_top_3m,is_top_6m
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,85.98,69.05,71.33,5.37,7.15,2975150.3,2444009.6333333333,210135948.0,168758865.0,27.79,22,1.25,200,377.67,3,135.57,2.87,True,False,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,36.49,36.8,30.62,7.03,7.18,1879973.1,1511822.3333333333,55166397.0,55639093.0,7.64,99,136.64,3,259.51,6,134.6,2.67,False,True,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,12.05,11.42,10.67,6.22,6.94,2709160.3,2730915.7666666666,32907535.0,31198437.0,12.51,66,32.56,78,302.34,4,115.8,1.87,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,13.6,15.29,15.01,5.34,7.1,1768525.1,2464737.933333333,33520436.0,37678038.0,-16.1,377,31.91,81,275.69,5,97.17,-1.33,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.3,0.99,0.88,18.96,12.66,36422972.5,64918342.03333333,84393845.0,64150358.0,106.58,2,75.65,23,94.03,56,92.09,3.81,True,True,False
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,113.76,115.02,108.6,4.65,4.49,2630379.1,1416742.9333333333,161168676.0,162952355.0,-6.35,248,42.15,64,233.12,7,89.64,1.06,False,False,True
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,54.31,50.01,52.76,7.85,7.81,994416.5,806163.3333333334,43782731.0,40318244.0,11.18,76,9.12,164,226.38,8,82.23,0.38,False,False,True
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.89,2.57,2.5,5.45,5.93,29410488.400000036,22749101.366666667,65744903.0,58359028.0,14.68,57,36.97,73,189.0,12,80.22,2.6,False,False,True
CRWD,"CrowdStrike Holdings, Inc.",NASDAQ,Packaged Software,249.35,216.55,208.33,5.05,5.34,12688087.5,11129555.033333333,2775154548.0,2410131111.0,30.59,20,49.09,52,149.99,21,76.55,3.68,True,False,True
AMLX,"Amylyx Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,32.39,32.34,27.17,4.72,5.73,1567149.2,2979136.7666666666,96494240.0,96334360.0,-18.61,400,101.74,8,132.35,34,71.83,3.35,False,True,False
HPE,Hewlett Packard Enterprise Company,NYSE,Computer Processing Hardware,61.75,55.74,52.73,5.96,5.87,26752549.1,23174195.033333357,1431006543.0,1291660109.0,15.85,53,33.51,77,153.18,19,67.51,2.91,False,False,True
PENG,"Penguin Solutions, Inc.",NASDAQ,Semiconductors,54.91,52.63,54.9,4.04,6.12,1331816.9,1471420.4666666666,80795698.0,77438407.0,5.98,116,-10.87,270,202.53,10,65.88,0.0,False,False,True
AMBQ,"Ambiq Micro, Inc.",NYSE,Semiconductors,71.09,61.2,64.94,4.58,5.62,737575.5,531505.1666666666,37784702.0,32529356.0,21.25,36,-13.36,285,177.37,13,61.75,1.69,False,False,True
ALAB,"Astera Labs, Inc.",NASDAQ,Semiconductors,340.74,295.01,303.93,5.44,6.83,4481189.2,3754952.1666666665,1279462401.0,1107743432.0,15.98,52,-14.69,298,173.34,15,58.21,1.77,False,False,True
SNDK,Sandisk Corporation,NASDAQ,Computer Peripherals,1766.64,1573.32,1501.22,5.09,6.52,9930567.2,12168885.1,21498039173.0,19145564503.0,10.08,82,-12.01,279,171.37,16,56.48,2.71,False,False,True
MRVL,"Marvell Technology, Inc.",NASDAQ,Semiconductors,257.38,227.59,216.38,4.03,5.7,19184946.0,22707691.8,5844505715.0,5168013300.0,1.98,157,-7.69,244,173.59,14,55.96,3.32,False,False,True
OSCR,"Oscar Health, Inc.",NYSE,Managed Health Care,31.29,31.36,30.75,5.88,5.97,6026959.6,5363240.133333334,167815784.0,168182272.0,-0.45,175,10.96,155,152.34,20,54.28,0.3,False,False,True
APPN,Appian Corporation,NASDAQ,Packaged Software,38.62,37.73,33.34,4.83,5.2,1014815.9,853237.7333333333,32952041.0,32193797.0,3.54,141,91.09,14,55.6,112,50.08,3.05,False,True,False
ANF,Abercrombie & Fitch Company,NYSE,Apparel/Footwear Retail,136.76,129.63,117.74,4.05,4.66,1440693.3,2044768.7666666666,279642577.0,265064738.0,27.53,23,60.89,37,52.4,119,46.94,3.47,True,False,False
