name,description,exchange,industry,close,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,is_top_1m,is_top_3m,is_top_6m
ETON,"Eton Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,57.62,49.9,4.62,5.3,465708.5,597063.0333333333,34402772.0,4.9,88,78.5,13,206.16,10,96.52,2.92,False,True,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,534.28,451.7,5.65,6.35,13531004.4,8020894.2,4285403353.0,7.72,72,29.32,73,249.87,4,95.64,2.88,False,False,True
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,111.8,106.64,4.36,4.31,873948.3,878164.7666666667,98178821.0,1.08,111,34.41,59,238.69,7,91.39,1.12,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,12.84,15.34,5.87,8.26,1658458.2,3102779.966666667,39839695.0,-35.86,413,56.59,26,249.86,5,90.19,-1.97,False,False,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,11.72,10.63,5.61,6.8,2700044.3,3756155.5,44040923.0,-7.46,200,19.28,105,240.84,6,84.22,1.52,False,False,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,64.79,72.85,6.22,9.38,2488326.0,2307408.433333333,149496992.0,-15.47,298,-26.37,308,284.51,3,80.89,-1.18,False,False,True
NEO,"NeoGenomics, Inc.",NASDAQ,Medical/Nursing Services,18.41,15.93,4.72,4.47,1431281.3,1721601.9333333333,31694692.0,12.39,46,78.91,12,125.61,26,72.31,3.49,False,True,False
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,48.97,54.73,8.59,9.34,1034105.6,860585.6666666666,42142880.0,-8.83,225,-6.9,206,227.12,9,70.46,-1.13,False,False,True
DFTX,"Definium Therapeutics, Inc.",NASDAQ,Pharmaceuticals: Major,40.25,43.05,4.64,5.73,2157917.4999999986,2192986.166666665,88267693.0,-6.4,184,70.19,19,123.12,27,62.3,-1.14,False,True,False
SLS,"SELLAS Life Sciences Group, Inc.",NASDAQ,Pharmaceuticals: Major,11.72,12.67,9.46,10.21,7154423.2,7075416.0,82959253.0,-5.44,172,54.28,29,134.03,22,60.95,-0.73,False,False,True
OSCR,"Oscar Health, Inc.",NYSE,Managed Health Care,33.81,30.65,5.12,5.28,4805191.1,5552982.733333333,187746346.0,9.95,61,15.83,117,155.36,15,60.38,1.96,False,False,True
