name,description,exchange,industry,close,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,is_top_1m,is_top_3m,is_top_6m
XHLD,"TEN Holdings, Inc.",NASDAQ,Miscellaneous Commercial Services,9.72,7.82,5.36,17.1,15.45,4213551.0,8124732.866666666,78972403.0,63504266.0,38.86,10,584.51,2,614.71,1,412.69,5.26,True,True,True
USDE,StablecoinX Inc.,NASDAQ,Packaged Software,7.71,5.6,4.08,17.9,17.07,4382304.9,7316905.033333333,56413338.0,40961254.0,156.15,1,663.37,1,-20.92,374,266.2,5.21,True,True,False
QMCO,Quantum Corporation,NASDAQ,Computer Peripherals,24.94,22.14,17.59,7.37,7.57,994923.4,1956143.0666666667,48786208.0,43299227.0,4.61,115,61.01,30,383.33,2,149.65,5.52,False,False,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,36.4,36.43,29.95,7.21,7.36,1674705.9,1523559.8666666667,55457579.0,55508618.0,6.87,94,128.93,4,260.75,5,132.18,2.92,False,True,True
ASST,"Strive, Inc.",NASDAQ,Financial Conglomerates,28.28,20.56,17.17,7.11,6.61,9902058.0,8491205.700000001,240131297.0,174594756.0,114.57,3,81.86,17,174.3,12,123.58,9.79,True,True,True
CDNA,"CareDx, Inc.",NASDAQ,Medical Specialties,54.28,49.16,44.38,4.2,4.1,976333.5,1045513.6666666666,56750482.0,51396406.0,18.83,36,126.83,5,208.41,10,118.02,5.43,False,True,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,588.4,486.21,460.38,5.56,5.72,10702185.299999999,8442917.7,4967812775.0,4105011315.0,26.0,21,36.88,66,259.88,6,107.58,4.86,True,False,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,74.99,68.32,71.73,5.56,7.93,2491737.9,2280854.3666666667,171041269.0,155826450.0,-5.18,204,-13.14,261,337.51,3,106.4,0.57,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,13.79,15.63,15.19,5.25,7.18,1644332.6,2517387.3333333335,34714771.0,39336275.0,-27.38,446,65.15,25,278.85,4,105.54,-1.28,False,False,True
TEAM,Atlassian Corporation,NASDAQ,Packaged Software,192.53,173.47,142.25,4.35,4.75,2908608.2,4671418.633333334,899388229.0,810329969.0,21.41,29,130.19,3,164.07,17,105.22,7.44,False,True,True
SDGR,"Schrodinger, Inc.",NASDAQ,Packaged Software,30.24,19.93,18.19,5.39,5.22,2197452.3,1510862.8,45688491.0,30109481.0,74.7,6,91.63,13,147.26,21,104.53,12.69,True,True,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.34,0.95,0.86,19.3,13.34,79642474.4,64111870.833333336,85909907.0,60883838.0,117.89,2,61.25,28,96.48,52,91.87,4.24,True,False,False
AMLX,"Amylyx Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,33.94,31.74,26.6,4.94,5.59,1501122.1,3082926.3666666667,104634521.0,97862359.0,13.47,52,121.61,6,140.2,24,91.76,4.93,False,True,True
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,114.86,114.84,107.82,4.1,3.97,901040.5,850800.2666666667,97722919.0,97707037.0,-1.49,161,38.69,63,223.55,9,86.92,1.64,False,False,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,10.96,11.62,10.65,6.29,7.14,2509681.3,2919617.066666667,31999003.0,33928383.0,-8.21,235,25.26,88,238.27,7,85.11,0.41,False,False,True
OKTA,"Okta, Inc.",NASDAQ,Packaged Software,190.02,158.4,152.25,4.65,4.94,3688849.8,3789666.566666667,720112441.0,600288869.0,32.33,15,68.73,23,136.46,27,79.17,5.02,True,True,False
GTLB,GitLab Inc.,NASDAQ,Packaged Software,50.27,44.43,39.98,4.4,4.59,4399144.3,5502829.166666667,276627222.0,244479694.0,24.18,27,92.46,12,119.81,37,78.82,5.6,False,True,False
ETON,"Eton Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,57.07,56.69,51.03,4.67,5.16,394063.7,596811.2,34060015.0,33831138.0,-6.6,216,71.33,22,166.68,15,77.14,2.29,False,True,True
PURR,Hyperliquid Strategies Inc,NASDAQ,Financial Conglomerates,12.83,10.12,8.78,9.03,8.83,23046841.6,22405578.0,287463566.0,226733247.0,84.07,5,28.94,82,117.83,38,76.95,5.22,True,False,False
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,50.51,49.68,53.75,8.27,8.51,904955.1,827873.3666666667,41815884.0,41131094.0,-2.21,170,-2.14,209,227.14,8,74.26,-0.71,False,False,True
CVI,CVR Energy Inc.,NYSE,Oil Refining/Marketing,54.14,41.11,38.19,4.88,4.67,1232216.0,1028757.0666666667,55696908.0,42292546.0,46.44,8,97.45,8,67.36,82,70.42,8.94,True,True,False
FIVN,"Five9, Inc.",NASDAQ,Packaged Software,34.5,32.69,30.0,4.64,5.05,1886377.1,2084794.2,71925400.0,68148100.0,8.05,87,79.5,18,121.01,34,69.52,2.97,False,True,False
HPE,Hewlett Packard Enterprise Company,NYSE,Computer Processing Hardware,61.04,55.17,52.24,5.78,6.13,32221989.5,22635334.46666669,1381660816.0,1248904579.0,9.27,70,24.13,94,172.14,13,68.51,2.75,False,False,True
DK,"Delek US Holdings, Inc.",NYSE,Oil Refining/Marketing,81.55,70.26,67.37,5.0,5.06,2077543.9,1755695.0,143176927.0,123356886.0,19.56,34,95.56,10,83.42,65,66.18,4.16,False,True,False
NTSK,"Netskope, Inc.",NASDAQ,Packaged Software,17.21,15.04,14.13,6.29,6.13,7945890.7,5749327.666666667,98945929.0,86479470.0,14.73,47,95.79,9,84.26,63,64.93,3.55,False,True,False
TEM,"Tempus AI, Inc.",NASDAQ,Packaged Software,80.36,61.7,56.74,5.77,6.06,6783869.3,7399476.233333333,594621910.0,456515619.0,60.5,7,61.2,29,66.03,84,62.58,6.87,True,False,False
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.71,2.55,2.47,5.52,5.99,25350504.900000036,19850356.66666667,53794467.0,50638260.0,12.92,53,2.26,186,163.11,18,59.43,1.64,False,False,True
PBF,PBF Energy Inc.,NYSE,Oil Refining/Marketing,77.16,72.27,68.41,5.38,5.71,3821296.9,3125471.1333333333,241161353.0,225870506.0,2.2,133,108.37,7,63.86,88,58.14,2.24,False,True,False
ORKA,"Oruka Therapeutics, Inc.",NASDAQ,Pharmaceuticals: Major,97.73,99.41,96.15,4.95,5.17,737679.0,783347.8,76556580.0,77873649.0,-11.37,275,33.51,73,151.17,20,57.77,0.32,False,False,True
PENG,"Penguin Solutions, Inc.",NASDAQ,Semiconductors,52.55,52.84,55.93,4.63,6.8,1188214.2,1455472.3666666667,76485073.0,76913467.0,-12.15,294,-17.17,287,197.57,11,56.08,-0.89,False,False,True
WGS,GeneDx Holdings Corp.,NASDAQ,Medical/Nursing Services,104.95,84.85,76.69,4.59,4.9,572164.3000000012,561750.8999999993,58955757.0,47662785.0,37.39,12,82.84,16,44.3,127,54.84,7.51,True,True,False
MRVL,"Marvell Technology, Inc.",NASDAQ,Semiconductors,240.76,225.18,215.93,4.23,6.22,18669275.6,22418485.266666666,5397474513.0,5048112311.0,9.18,71,-21.18,316,170.82,14,52.94,1.85,False,False,True
OMER,Omeros Corporation,NASDAQ,Pharmaceuticals: Major,18.45,17.59,14.87,4.24,4.84,1479853.1,2124934.6,39205043.0,37374058.0,8.37,82,82.85,15,66.67,83,52.63,4.98,False,True,False
OSCR,"Oscar Health, Inc.",NYSE,Managed Health Care,31.98,31.06,30.71,5.64,5.85,5089259.0,5656624.7,180898858.0,175689107.0,2.27,130,11.94,141,141.36,22,51.85,0.7,False,False,True
ANF,Abercrombie & Fitch Company,NYSE,Apparel/Footwear Retail,138.6,127.98,115.93,4.2,4.83,1463847.0,2005398.5333333334,277948237.0,256657589.0,33.15,14,61.92,27,55.36,105,50.14,4.05,True,False,False
CHYM,"Chime Financial, Inc.",NASDAQ,Packaged Software,30.72,32.44,28.38,4.69,5.1,8038794.3,9208292.5,282878746.0,298677106.0,-1.6,162,83.95,14,60.67,95,47.67,1.62,False,True,False
NAVN,"Navan, Inc.",NASDAQ,Packaged Software,22.13,27.17,26.68,6.02,6.79,5750716.2,3359261.433333333,74340456.0,91281771.0,-23.16,422,3.65,180,156.73,19,45.74,-2.51,False,False,True
APPN,Appian Corporation,NASDAQ,Packaged Software,38.11,37.36,32.83,5.28,5.58,992964.6,895789.7333333333,34138547.0,33468197.0,8.05,86,77.83,19,49.63,117,45.17,2.88,False,True,False
FCEL,"FuelCell Energy, Inc.",NASDAQ,Electronic Equipment/Instruments,17.71,18.28,19.34,7.38,10.2,7073100.999999997,7724697.533333328,136804393.0,141230645.0,-16.38,366,-14.36,267,164.33,16,44.53,-0.83,False,False,True
INSP,"Inspire Medical Systems, Inc.",NYSE,Medical Specialties,72.74,63.16,58.76,4.42,4.32,859888.4,612585.0666666667,44559438.0,38693936.0,26.9,20,73.56,20,33.0,150,44.49,5.51,True,True,False
SWKS,"Skyworks Solutions, Inc.",NASDAQ,Semiconductors,91.32,72.56,68.04,5.96,5.43,8237610.5,6369044.3,581621125.0,462131485.0,36.77,13,27.88,84,68.74,77,44.46,6.3,True,False,False
PARR,"Par Pacific Holdings, Inc. Common Stock",NYSE,Oil Refining/Marketing,86.49,78.91,78.15,5.03,5.15,851945.6000000015,920387.866666667,79604347.0,72623511.0,4.93,113,72.67,21,48.07,118,41.89,2.07,False,True,False
BB,BlackBerry Limited,NYSE,Packaged Software,7.94,8.17,8.59,4.14,4.91,9212606.5,9391710.933333341,74570185.0,76714625.0,-6.7,217,-11.73,255,141.34,23,40.97,-1.53,False,False,True
WDAY,"Workday, Inc.",NASDAQ,Information Technology Services,199.28,192.35,174.98,4.16,4.59,2631054.4,4237079.766666667,844365256.0,814986051.0,2.04,135,66.77,24,50.95,112,39.92,3.03,False,True,False
QRVO,"Qorvo, Inc.",NASDAQ,Semiconductors,119.51,101.11,95.87,4.3,3.92,1605198.1,1169255.4,139737713.0,118220295.0,25.8,22,23.97,95,52.61,109,34.13,6.29,True,False,False
CNH,CNH Industrial N.V.,NYSE,Trucks/Construction/Farm Machinery,13.55,12.05,11.49,4.78,4.26,20295409.500000004,21789645.3,295249694.0,262587016.0,31.81,16,29.54,81,34.16,146,31.84,4.2,True,False,False
BMNR,"BitMine Immersion Technologies, Inc.",NYSE,Financial Conglomerates,23.89,22.33,20.06,6.63,7.09,44252129.7,41683903.13333333,995828446.0,930884925.0,30.26,18,49.69,45,12.96,216,30.97,2.7,True,False,False
SBET,"Sharplink, Inc.",NASDAQ,Advertising/Marketing Services,8.26,7.74,7.06,6.58,6.98,8627384.7,8687926.800000023,71762275.0,67250345.0,30.7,17,53.25,39,7.55,232,30.5,2.44,True,False,False
BE,Bloom Energy Corporation,NYSE,Electronic Production Equipment,280.76,232.23,225.26,5.25,6.72,15012256.6,12826912.733333332,3601284019.0,2978845252.0,27.18,19,-5.66,223,67.77,80,29.76,3.67,True,False,False
WIX,Wix.com Ltd.,NASDAQ,Packaged Software,79.9,77.95,68.6,6.08,6.0,1209911.0,1508389.5,120520321.0,117579716.0,5.86,102,92.81,11,-10.25,319,29.47,2.74,False,True,False
BLSH,Bullish,NYSE,Packaged Software,34.91,30.69,27.8,6.33,6.97,1618397.4,1655345.7666666666,57788121.0,50799803.0,42.55,9,45.16,51,-11.73,326,25.32,3.67,True,False,False
MSTR,Strategy Inc,NASDAQ,Internet Software/Services,132.25,118.7,109.61,5.75,6.35,22598689.5,24948692.5,3299464583.0,2961451381.0,38.0,11,12.42,138,-5.18,296,15.08,3.25,True,False,False
RBLX,Roblox Corporation,NYSE,Packaged Software,47.5,40.88,44.06,4.59,4.94,9556741.2,10981929.433333334,521641648.0,448941275.0,25.5,24,-3.0,213,-16.79,353,1.9,1.58,True,False,False
FTFT,Future FinTech Group Inc.,NASDAQ,Finance/Rental/Leasing,6.26,3.17,3.99,21.18,22.26,30333758.6,10738995.541666666,67172417.0,34006748.0,84.4,4,-47.28,446,-67.42,465,-10.1,2.55,True,False,False
CAPR,"Capricor Therapeutics, Inc.",NASDAQ,Pharmaceuticals: Major,9.42,7.63,10.54,7.91,11.0,2848744.1,8779669.533333333,82704487.0,67031314.0,25.6,23,-66.69,465,-69.83,467,-36.97,-0.97,True,False,False
