symbol
LIFE
MXL
BLZE
CORT
APPS
ETON
BAND
FIVN
HPE
NTSK
AMC
PBF
ORKA
PENG
MRVL
OSCR
CHYM
NAVN
APPN
FCEL
PARR
BB
WDAY
BMNR
SBET
BE
WIX
BLSH
MSTR
RBLX
FTFT
CAPR
