symbol
USDE
DELL
BLZE
MXL
APPS
GPRO
CORT
ETON
BAND
FIVN
NTSK
DK
PURR
PBF
AMC
HPE
ORKA
CHYM
OSCR
NAVN
APPN
MRVL
PENG
PARR
PAY
WIX
SBET
BMNR
BLSH
MSTR
RBLX
FTFT
CAPR
