symbol
MXL
ETON
CORT
AMLX
BAND
BLZE
HPE
APPS
PURR
ORKA
PBF
MAN
OSCR
SHAZ
DK
SNDK
MRVL
PENG
PAY
AEHR
NTSK
WIX
BTDR
SG
MSTR
CRCL
CAPR
