symbol
LIFE
MXL
DELL
BLZE
GPRO
APPS
CORT
AMLX
BAND
ETON
HPE
NTSK
DK
PENG
FIVN
AMC
PBF
XMTR
MRVL
ORKA
OMER
FCEL
ANF
CHYM
AMBQ
APPN
NAVN
PARR
HOOD
AEHR
CNH
MARA
WIX
BTDR
COIN
FTFT
