symbol
USDE
DELL
BLZE
MXL
GPRO
CORT
APPS
ETON
BAND
FIVN
NTSK
DK
PBF
AMC
PURR
HPE
OSCR
ORKA
CHYM
NAVN
MRVL
XMTR
APPN
OMER
PENG
TEM
PARR
PAY
BB
WIX
SBET
BMNR
FCEL
BLSH
MSTR
MARA
FTFT
RBLX
CAPR
